source	target	weight
associated	conditions	3
however	term	4
lipids	coat	2
used	plot	3
inflammatory	pathways	4
love	wizard's	2
vietnam	war	4
blood	not	4
viruses	antiviral	3
estimated	making	2
data	found	4
subject	whether	5
usually	time	2
civilizations	firsts	2
drainage	limbs	3
formed	preventing	3
perform	dramatic	4
statement	proved	7
jet	pretty	2
wood	usually	2
times	decisions	2
heritage	visited	2
exchange	also	3
girl	comedy	3
london	girl	3
topical	steroids	4
logic	faculty	2
plaques	white	2
terms	league	2
rivalry	interest	3
centres	approximately	4
blood	called	6
meanwhile	hungarian	4
paints	artist	2
air	lines	4
frequently	notable	2
two	veins	3
britain	declare	4
ambiguity	stylistic	2
medical	characterised	2
began	vast	2
diffusion	environment	2
auber	meyerbeer	4
attacker	mutually	3
sophistication	stalemate	3
organisms	known	4
including	richardson's	3
imposed	germany	4
period	details	8
warde	choreographed	4
encompassing	highlands	2
proofs	proving	4
machine	forth	4
austria	heir	4
aid	per	4
swimming	forms	2
broadway	1895	4
human	constructed	2
information	lost	4
blood	per	4
varied	across	4
later	acquired	4
north	romance	3
asia	latin	2
mesoamerican	maya	2
thought	immune	2
include	sweating	3
vedas	homeric	2
late	artists	2
gonads	endocrine	3
antifungals	infectious	2
stalingrad	1943	2
transition	began	4
prover	clearly	2
platform	language	4
persons	presented	3
ages	oil	8
corporation	one	2
estimated	caused	4
economic	integration	2
pretty	like	3
major	referred	3
kidneys	bleeding	3
regional	proxy	2
cultures	recent	4
store	not	2
systems	lymph	3
water	rather	4
effect	paris	4
inspired	william	4
antibody	anti	3
multiple	per	3
1975	defeat	3
decrease	measles	3
system	open	4
predict	often	2
channel	network	3
meaning	blood	4
arms	limitation	4
common	affecting	2
damage	parts	2
actor	developed	4
deployment	provides	3
assembled	two	4
books	uncontested	3
gas	plants	3
snowden	security	2
possess	viruses	2
opera	typified	4
disease	exists	3
fluids	healthy	4
german	1918	2
coat	capsid	3
critics	scholarly	4
novels	languages	3
olmec	cultures	4
molecules	factors	3
haphazardly	occupied	2
feature	girls	2
organ	permits	3
german	measles	4
website	web	3
anomalies	result	3
iliad	odyssey	4
conquistadors	cortes	3
empire	hungarian	4
union	states	3
century	heart	2
settings	characterization	4
central	teotihuacan	2
android	support	4
military	1983	3
unique	image	4
cost	efficient	2
different	measles	3
rural	areas	4
edward	indicate	3
states	pinnacle	2
carbon	exhalation	2
will	prove	2
language	readers	2
image	file	4
france	england	3
often	refers	2
site	architecturally	3
example	positions	2
known	type	4
franca	talk	2
art	consisting	3
protect	excrete	2
power	although	3
million	145	3
colonised	lengthy	2
first	mesoamerican	4
integrity	exchanged	4
1957	best	3
manipulation	bias	3
also	began	4
impressions	number	2
attempts	concentrated	4
significant	leading	4
protocol	secure	7
movement	egypt	3
harold	prince	4
invasion	allies	2
seen	numerous	4
diffie	seen	2
front	drove	2
first	buddhist	3
italy	united	3
nevertheless	proven	3
integumentary	system	10
around	perhaps	2
emulation	compatible	2
system	plasma	2
transparent	luminous	3
confirmed	musical	2
allows	items	3
musicians	perform	4
developers	java	4
likeness	individual	3
commercial	complexes	3
traditions	greek	2
network	two	2
artwork	aptly	3
combining	libretto	3
three	layers	3
reflect	sometimes	2
well	within	2
total	followed	4
elevated	soviet	3
evade	immune	4
java	originally	4
broadway	broke	3
silk	synthetic	4
like	opera	7
armistice	location	3
means	light	4
browns	ethiopia	3
considered	ancient	3
kilometres	city	2
specifications	adds	4
volatile	volatile	5
war	four	2
scala	smaller	2
union	time	4
paper	codices	4
various	application	2
words	emotive	3
wars	war	2
april	united	2
function	cases	3
need	recovery	2
germany	national	2
eldest	prospective	4
capacities	contents	3
cast	york	3
spleen	thymus	4
medications	antibiotics	2
electrical	electronically	2
factor	operations	2
special	zero	2
time	word	2
possible	application	2
controlled	europe	2
inference	lazy	3
derived	word	2
cord	damaged	4
functional	somatic	4
end	1988	2
implementation	dependencies	4
referred	colhuah	2
audiences	action	2
synonymous	term	4
costumes	portrait	4
form	sequential	4
increasingly	globalized	4
metal	wood	3
per	memory	4
women	sold	2
body	systems	4
dafne	florence	3
market	merchandisers	4
cells	contains	3
unique	embedded	2
used	civilization	3
second	world	8
college	rheumatology	4
system	patronage	4
authenticity	historicity	4
ventilation	anatomical	2
history	years	2
cohan	theatre	3
stelae	developed	2
water	hiv	4
candidates	otomi	3
fiction	18th	4
make	city	2
signal	referred	2
city	teotihuacan	6
produced	highly	2
care	improve	3
