MarkovTime,Stability,numClusters,meanVI
0.1,0.4283811103,34,0
0.107189,0.4252113845,34,0
0.110975,0.4235531091,34,0
0.118953,0.4200834197,34,0
0.123155,0.4182693101,34,0
0.127505,0.4171997073,32,0
0.132009,0.4153213068,32,0
0.136672,0.4141907657,30,0
0.146497,0.4102474833,30,0.01630934542
0.151672,0.4081885628,30,0.01630934542
0.162576,0.4051345646,28,0
0.168318,0.4029770583,28,0
0.174263,0.4007580804,28,0
0.180419,0.3990305215,26,0.02446401814
0.186791,0.3967409327,26,0.02446401814
0.193389,0.3947501847,25,0.09423177357
0.20022,0.392757554,25,0.1218091495
0.222195,0.3866134595,21,0.09245505161
0.238169,0.3817888426,20,0.1865846369
0.255291,0.3769224763,19,0.1142008455
0.264308,0.3744644307,18,0.1954805298
0.273644,0.3719026844,17,0.2185942927
0.293317,0.366615072,15,0.2428947926
0.303677,0.3639833312,12,0.188061882
0.314404,0.3612852444,12,0.2606307389
0.337006,0.3557198832,12,0.3613600457
0.361234,0.3498516559,12,0.3115202725
0.373994,0.3468133561,12,0.3684328136
0.387204,0.3429098092,10,0.2818170652
0.41504,0.333957244,8,0.08868756984
0.4297,0.3283037447,8,0.1615141983
0.444878,0.3256458103,8,0.2744155747
0.460592,0.3208860382,7,0.2221217461
0.493705,0.3123715768,6,0.2192497602
0.511143,0.3098690691,6,0.3276866837
0.567243,0.2913422472,5,0
0.587279,0.2893297686,5,0.2736298913
0.608022,0.2849927555,4,0.1077617963
0.629499,0.2827297932,4,0.1915765267
0.651734,0.2800648897,4,0.263011129
0.674754,0.2777307889,4,0.1683271226
0.723263,0.2661826606,4,0
0.74881,0.2639456159,4,0
0.77526,0.2616612099,4,0
0.802643,0.2554549391,4,0
0.860346,0.2277485052,3,0
0.890735,0.2250987075,3,0
0.922198,0.2023032367,2,NaN
