Source	Target	Type
1	0	Undirected
2	0	Undirected
3	0	Undirected
3	2	Undirected
4	0	Undirected
5	0	Undirected
6	0	Undirected
7	0	Undirected
8	0	Undirected
9	0	Undirected
11	10	Undirected
11	3	Undirected
11	2	Undirected
11	0	Undirected
12	11	Undirected
13	11	Undirected
14	11	Undirected
15	11	Undirected
17	16	Undirected
18	16	Undirected
18	17	Undirected
19	16	Undirected
19	17	Undirected
19	18	Undirected
20	16	Undirected
20	17	Undirected
20	18	Undirected
20	19	Undirected
21	16	Undirected
21	17	Undirected
21	18	Undirected
21	19	Undirected
21	20	Undirected
22	16	Undirected
22	17	Undirected
22	18	Undirected
22	19	Undirected
22	20	Undirected
22	21	Undirected
23	16	Undirected
23	17	Undirected
23	18	Undirected
23	19	Undirected
23	20	Undirected
23	21	Undirected
23	22	Undirected
23	12	Undirected
23	11	Undirected
24	23	Undirected
24	11	Undirected
25	24	Undirected
25	23	Undirected
25	11	Undirected
26	24	Undirected
26	11	Undirected
26	16	Undirected
26	25	Undirected
27	11	Undirected
27	23	Undirected
27	25	Undirected
27	24	Undirected
27	26	Undirected
28	11	Undirected
28	27	Undirected
29	23	Undirected
29	27	Undirected
29	11	Undirected
30	23	Undirected
31	30	Undirected
31	11	Undirected
31	23	Undirected
31	27	Undirected
32	11	Undirected
33	11	Undirected
33	27	Undirected
34	11	Undirected
34	29	Undirected
35	11	Undirected
35	34	Undirected
35	29	Undirected
36	34	Undirected
36	35	Undirected
36	11	Undirected
36	29	Undirected
37	34	Undirected
37	35	Undirected
37	36	Undirected
37	11	Undirected
37	29	Undirected
38	34	Undirected
38	35	Undirected
38	36	Undirected
38	37	Undirected
38	11	Undirected
38	29	Undirected
39	25	Undirected
40	25	Undirected
41	24	Undirected
41	25	Undirected
42	41	Undirected
42	25	Undirected
42	24	Undirected
43	11	Undirected
43	26	Undirected
43	27	Undirected
44	28	Undirected
44	11	Undirected
45	28	Undirected
47	46	Undirected
48	47	Undirected
48	25	Undirected
48	27	Undirected
48	11	Undirected
49	26	Undirected
49	11	Undirected
50	49	Undirected
50	24	Undirected
51	49	Undirected
51	26	Undirected
51	11	Undirected
52	51	Undirected
52	39	Undirected
53	51	Undirected
54	51	Undirected
54	49	Undirected
54	26	Undirected
55	51	Undirected
55	49	Undirected
55	39	Undirected
55	54	Undirected
55	26	Undirected
55	11	Undirected
55	16	Undirected
55	25	Undirected
55	41	Undirected
55	48	Undirected
56	49	Undirected
56	55	Undirected
57	55	Undirected
57	41	Undirected
57	48	Undirected
58	55	Undirected
58	48	Undirected
58	27	Undirected
58	57	Undirected
58	11	Undirected
59	58	Undirected
59	55	Undirected
59	48	Undirected
59	57	Undirected
60	48	Undirected
60	58	Undirected
60	59	Undirected
61	48	Undirected
61	58	Undirected
61	60	Undirected
61	59	Undirected
61	57	Undirected
61	55	Undirected
62	55	Undirected
62	58	Undirected
62	59	Undirected
62	48	Undirected
62	57	Undirected
62	41	Undirected
62	61	Undirected
62	60	Undirected
63	59	Undirected
63	48	Undirected
63	62	Undirected
63	57	Undirected
63	58	Undirected
63	61	Undirected
63	60	Undirected
63	55	Undirected
64	55	Undirected
64	62	Undirected
64	48	Undirected
64	63	Undirected
64	58	Undirected
64	61	Undirected
64	60	Undirected
64	59	Undirected
64	57	Undirected
64	11	Undirected
65	63	Undirected
65	64	Undirected
65	48	Undirected
65	62	Undirected
65	58	Undirected
65	61	Undirected
65	60	Undirected
65	59	Undirected
65	57	Undirected
65	55	Undirected
66	64	Undirected
66	58	Undirected
66	59	Undirected
66	62	Undirected
66	65	Undirected
66	48	Undirected
66	63	Undirected
66	61	Undirected
66	60	Undirected
67	57	Undirected
68	25	Undirected
68	11	Undirected
68	24	Undirected
68	27	Undirected
68	48	Undirected
68	41	Undirected
69	25	Undirected
69	68	Undirected
69	11	Undirected
69	24	Undirected
69	27	Undirected
69	48	Undirected
69	41	Undirected
70	25	Undirected
70	69	Undirected
70	68	Undirected
70	11	Undirected
70	24	Undirected
70	27	Undirected
70	41	Undirected
70	58	Undirected
71	27	Undirected
71	69	Undirected
71	68	Undirected
71	70	Undirected
71	11	Undirected
71	48	Undirected
71	41	Undirected
71	25	Undirected
72	26	Undirected
72	27	Undirected
72	11	Undirected
73	48	Undirected
74	48	Undirected
74	73	Undirected
75	69	Undirected
75	68	Undirected
75	25	Undirected
75	48	Undirected
75	41	Undirected
75	70	Undirected
75	71	Undirected
76	64	Undirected
76	65	Undirected
76	66	Undirected
76	63	Undirected
76	62	Undirected
76	48	Undirected
76	58	Undirected
